Customer_Id,Name,Gender,City_Id,Pincode,Birthdate,income_bracket,emailId,PhoneNo
C_1,Chimayi Shishir,F,14,456789,1980-01-01,1.9926E7,ChimayiShishir80@outlook.com,9917570056
C_10,Sharanya Paritosh,F,25,598804,1981-02-09,1.87852E7,SharanyaParitosh81@yahoo.com,9978696886
C_100,Rati Vidya,F,30,285029,1992-03-13,1.03844E7,RatiVidya92@gmail.com,9973648909
C_101,Bhagya Chirimar,F,11,681094,1992-04-27,1.47951E7,BhagyaChirimar92@outlook.com,9976562202
C_102,Amrusha Imani,F,23,135785,1992-06-11,1.17389E7,AmrushaImani92@outlook.com,9991260301
C_103,Hiral Shamsher,F,19,872008,1992-07-26,6605490.0,HiralShamsher92@gmail.com,9967324302
C_104,Najma Bhaskar,F,25,198854,1992-09-09,1.22913E7,NajmaBhaskar92@gmail.com,9893809634
C_105,Indukala Ramana,F,28,115225,1992-10-24,7204040.0,IndukalaRamana92@gmail.com,9950795127
C_106,Komal Vinata,F,9,623610,1992-12-08,9700220.0,KomalVinata92@yahoo.com,9913137741
C_107,Bimala Pundarik,F,25,228987,1993-01-22,1189760.0,BimalaPundarik93@yahoo.com,9972051368
C_108,Shabari Jeevan,F,19,453074,1993-03-08,9027320.0,ShabariJeevan93@gmail.com,9964612776
C_109,Shrigeeta Supriya,F,9,193905,1993-04-22,1.2173E7,ShrigeetaSupriya93@gmail.com,9967650845
C_11,Shruti Koduri,F,22,733768,1981-03-26,8009130.0,ShrutiKoduri81@yahoo.com,9928742098
C_110,Magana Priyavardhan,F,19,843719,1993-06-06,1.44089E7,MaganaPriyavardhan93@gmail.com,9907408028
C_111,Daya Jitesh,F,15,162910,1993-07-21,1.14728E7,DayaJitesh93@gmail.com,9942233078
C_112,Ekata Mathrubootham,F,26,129191,1993-09-04,9301920.0,EkataMathrubootham93@yahoo.com,9944593893
C_113,Nitya Ketaki,F,21,932511,1993-10-19,4919320.0,NityaKetaki93@gmail.com,9983654826
C_114,Nityapriya Venktesh,F,7,803094,1993-12-03,1.96127E7,NityapriyaVenktesh93@outlook.com,9897187154
C_115,Akuti Lokhande,F,9,126519,1994-01-17,1.26723E7,AkutiLokhande94@gmail.com,9879716358
