Student_Id,Student_Name,Student_Birthdate,Student_Class,Student_City,Class_Id
1,Abhimanyu,2007-04-13,A,Gurgaon,8
2,Abhishek,2007-04-17,A,Delhi,8
3,Abhilash,2007-05-08,A,Delhi,8
4,Chinmay,2007-06-01,A,Delhi,8
5,Chinki,2007-06-25,A,Delhi,8
6,Priyank,2007-07-04,B,Delhi,8
7,Somesh,2007-09-07,B,Delhi,8
8,Sarvesh,2007-10-06,B,Delhi,8
9,Vishal,2007-10-29,B,Delhi,8
10,Vaishali,2007-12-07,B,Delhi,8
11,Abhilasha,2007-12-24,A,Delhi,9
12,Anushka,2008-02-13,A,Delhi,9
13,Karuna,2008-06-15,A,Noida,9
14,Priya,2008-07-24,A,Noida,9
15,Sukhvinder,2008-08-01,A,Noida,9
16,Tanya,2008-08-07,B,Noida,9
17,Vishakha,2008-10-19,B,Noida,9
18,Vaijyanti,2008-11-07,B,Noida,9
19,Vishnu,2008-11-23,B,Noida,9
20,Veer,2008-11-24,B,Gurgaon,9
21,Ankur,2009-01-27,A,Gurgaon,10
22,Ali,2009-03-03,A,Gurgaon,10
23,Axar,2009-06-06,A,Gurgaon,10
24,Bhavika,2009-06-09,A,Gurgaon,10
25,Komal,2009-06-11,A,Gurgaon,10
26,Karun,2009-06-30,B,Gurgaon,10
27,Pouroushi,2009-10-15,B,Gurgaon,10
28,Somya,2009-12-13,B,Gurgaon,10
29,Sanyam,2010-01-05,B,Delhi,10
30,Sanya,2010-07-24,B,Delhi,10
